Culture_ID,Project_Specific_Culture_ID,Sample_ID,Culture_Date,Cultured_By,Project_Code,DNA_Location,Media_Cultured,sequenced,OTU,OTU.num,contig.name,BLAST_ITS-LSU
,C13-2-13,C-103-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt2,OTU15,15,C13-2-13,
,C13-2-4,C-103-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU16,16,C13-2-4,
,C14-3-12,C-104-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU17,17,C14-3-12,
,C27-1-7,C-207-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU18,18,C27-1-7,
,C28-1-19,C-208-L1-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU19,19,C28-1-19,
,C28-2-17,C-208-L2-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU20,20,C28-2-17,
,C33-1-10,C-303-L1-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU21,21,C33-1-10,
,C33-2-6,C-303-L2-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU22,22,C33-2-6,
,C33-3-7,C-303-L3-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU23,23,C33-3-7,
,C37-1-9,C-307-L1-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt2,OTU24,24,C37-1-9,
,C37-3-2,C-307-L3-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU25,25,C37-3-2,
,C13-1-1,C-103-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C13-1-10,C-103-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C13-1-11,C-103-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C13-1-13,C-103-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C13-1-17,C-103-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C13-1-2,C-103-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C13-1-3,C-103-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C13-1-6,C-103-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C13-1-9,C-103-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C13-2-10,C-103-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C13-2-12,C-103-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt2,OTU1,1,Contig1,Alternaria
,C13-2-14,C-103-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C13-2-2,C-103-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C13-2-3,C-103-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C13-2-5,C-103-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C13-2-8,C-103-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C13-3-1,C-103-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt2,OTU1,1,Contig1,Alternaria
,C13-3-2,C-103-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt2,OTU1,1,Contig1,Alternaria
,C13-3-5,C-103-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C13-3-6,C-103-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-1-1,C-104-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt2,OTU1,1,Contig1,Alternaria
,C14-1-10,C-104-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt2,OTU1,1,Contig1,Alternaria
,C14-1-11,C-104-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-1-13,C-104-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-1-14,C-104-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-1-15,C-104-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-1-16,C-104-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt3,OTU1,1,Contig1,Alternaria
,C14-1-3,C-104-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-1-4,C-104-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-1-8,C-104-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-2-1,C-104-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-2-11,C-104-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-2-13,C-104-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-2-2,C-104-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-2-4,C-104-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-2-5,C-104-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-2-6,C-104-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-2-7,C-104-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-2-8,C-104-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-2-9,C-104-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-3-1,C-104-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-3-10,C-104-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-3-11,C-104-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-3-15,C-104-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-3-16,C-104-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-3-17,C-104-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-3-18,C-104-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-3-2,C-104-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-3-21,C-104-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt2,OTU1,1,Contig1,Alternaria
,C14-3-3,C-104-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-3-4,C-104-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-3-7,C-104-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-3-8,C-104-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C14-3-9,C-104-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-1-1,C-207-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt2,OTU1,1,Contig1,Alternaria
,C27-1-11,C-207-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-1-14,C-207-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-1-16,C-207-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-1-3,C-207-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt2,OTU1,1,Contig1,Alternaria
,C27-1-4,C-207-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-1-5,C-207-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-1-6,C-207-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-1-8,C-207-L1-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt3,OTU1,1,Contig1,Alternaria
,C27-2-11,C-207-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-2-14,C-207-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-2-15,C-207-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-2-17,C-207-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-2-19,C-207-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-2-2,C-207-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-2-20,C-207-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-2-3,C-207-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-2-6,C-207-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-2-8,C-207-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-2-9,C-207-L2-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-3-10,C-207-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-3-11,C-207-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-3-16,C-207-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-3-18,C-207-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-3-19,C-207-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-3-21,C-207-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-3-4,C-207-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-3-6,C-207-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-3-7,C-207-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C27-3-9,C-207-L3-T1,2022.10.21,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt2,OTU1,1,Contig1,Alternaria
,C28-1-1,C-208-L1-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C28-1-14,C-208-L1-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C28-1-18,C-208-L1-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C28-1-20,C-208-L1-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C28-1-22,C-208-L1-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C28-1-25,C-208-L1-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C28-1-26,C-208-L1-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C28-1-27,C-208-L1-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C28-1-4,C-208-L1-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt2,OTU1,1,Contig1,Alternaria
,C28-1-5,C-208-L1-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C28-1-6,C-208-L1-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt3,OTU1,1,Contig1,Alternaria
,C28-1-7,C-208-L1-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C28-2-11,C-208-L2-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C28-2-12,C-208-L2-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C28-2-13,C-208-L2-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C28-2-16,C-208-L2-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C28-2-18,C-208-L2-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C28-2-27,C-208-L2-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C28-2-29,C-208-L2-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt2,OTU1,1,Contig1,Alternaria
,C28-2-3,C-208-L2-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C28-2-4,C-208-L2-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C28-2-6,C-208-L2-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C28-2-7,C-208-L2-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C28-2-9,C-208-L2-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C28-3-2,C-208-L3-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C28-3-6,C-208-L3-T1,2022.10.24,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C33-1-1,C-303-L1-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt3,OTU1,1,Contig1,Alternaria
,C33-1-11,C-303-L1-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C33-1-12,C-303-L1-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C33-1-14,C-303-L1-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C33-1-15,C-303-L1-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C33-1-17,C-303-L1-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C33-1-4,C-303-L1-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C33-1-8,C-303-L1-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C33-2-1,C-303-L2-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C33-2-3,C-303-L2-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C33-2-4,C-303-L2-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C33-3-10,C-303-L3-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C33-3-12,C-303-L3-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt2,OTU1,1,Contig1,Alternaria
,C33-3-13,C-303-L3-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C33-3-15,C-303-L3-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt2,OTU1,1,Contig1,Alternaria
,C33-3-17,C-303-L3-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt2,OTU1,1,Contig1,Alternaria
,C33-3-20,C-303-L3-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C33-3-21,C-303-L3-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C33-3-23,C-303-L3-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
,C33-3-5,C-303-L3-T1,2022.10.26,JAB,CornDebrisFungicide,,MEA+Tet+Strepto,yes-pt1,OTU1,1,Contig1,Alternaria
